15,2,12,36.08312325,-82.91839158,42.325595,-83.178647,1,4,38.133272,-118.665261,34.058937,-118.301681
8,2,3,41.93213767,-84.137852,42.325595,-83.178647,0,3,40.66529,-74.03646867,40.730757,-73.986367
9,2,6,41.29871383,-79.08716033,42.325595,-83.178647,5,2,34.5099245,-82.573837,35.243134,-80.762961
12,2,8,39.6015165,-79.9588295,42.325595,-83.178647,4,2,26.840261,-81.486185,27.912733,-82.753831
13,2,10,37.0492654,-80.2643006,42.325595,-83.178647,3,2,31.2524125,-96.1888465,32.824571,-96.823158
1,2,1,42.325595,-83.178647,42.325595,-83.178647,12,1,41.535976,-81.595157,41.535976,-81.595157
2,0,1,40.730757,-73.986367,40.730757,-73.986367,10,1,42.341801,-71.088965,42.341801,-71.088965
3,0,2,41.536279,-72.537666,40.730757,-73.986367,9,1,38.923312,-77.034074,38.923312,-77.034074
4,4,1,27.912733,-82.753831,27.912733,-82.753831,14,1,25.767789,-80.218539,25.767789,-80.218539
5,2,2,41.9307855,-82.386902,42.325595,-83.178647,6,1,41.934842,-87.639752,41.934842,-87.639752
6,5,1,35.243134,-80.762961,35.243134,-80.762961,11,1,33.776715,-84.384713,33.776715,-84.384713
7,3,1,32.824571,-96.823158,32.824571,-96.823158,13,1,29.680254,-95.554535,29.680254,-95.554535
10,1,1,34.058937,-118.301681,34.058937,-118.301681,7,1,37.336089,-121.834414,37.336089,-121.834414
11,1,2,35.697513,-120.0680475,34.058937,-118.301681,15,1,33.52794,-112.195128,33.52794,-112.195128
14,1,3,34.974322,-117.443741,34.058937,-118.301681,8,1,47.610122,-122.329821,47.610122,-122.329821